FacebookPage,RegionName,LGA (UR),Population,name_match,,,,Police Region,Police Service Area,Local Government Area,
Ballarat Police Service Area,Ballarat,Ballarat (C),101689,1,1,,,North West Metro,Melbourne,Melbourne,
Brimbank Police Service Area,Brimbank,Brimbank (C),194315,1,,,,North West Metro,Yarra,Yarra,
Cardinia Police Service Area,Cardinia,Cardinia (S),94130,1,,,,North West Metro,Hobsons Bay,Hobsons Bay,
Frankston Police Service Area,Frankston,Frankston (C),134144,1,,,,North West Metro,Maribyrnong,Maribyrnong,
Geelong Police Service Area,Geelong,Greater Geelong (C),233426,0,,,,North West Metro,Wyndham,Wyndham,
Greater Dandenong Police Service Area,Greater Dandenong,Greater Dandenong (C),152052,0,,,,North West Metro,Brimbank,Brimbank,
Greater Shepparton Police Service Area,Greater Shepparton,Greater Shepparton (C),63839,1,,,,North West Metro,Melton,Melton,
Knox Police Service Area,Knox,Knox (C),154109,1,,,,North West Metro,Hume,Hume,
Latrobe Police Service Area,Latrobe,Latrobe (C),73257,1,,,,North West Metro,Moonee Valley,Moonee Valley,
Melton Police Service Area,Melton,Melton (C),135443,1,,,,North West Metro,Moreland,Moreland,
Whittlesea Police Service Area,Whittlesea,Whittlesea (C),197490,1,,,,North West Metro,Banyule,Banyule,
Wyndham Police Service Area,Wyndham,Wyndham (C),217118,1,,,,North West Metro,Darebin,Darebin,
,,,,,,,,North West Metro,Nillumbik,Nillumbik,
,,,,,,,,North West Metro,Whittlesea,Whittlesea,
,,,,,,,,Eastern,Boroondara,Boroondara,
,,,,,,,,Eastern,Manningham,Manningham,
,,,,,,,,Eastern,Monash,Monash,
,,,,,,,,Eastern,Whitehorse,Whitehorse,
,,,,,,,,Eastern,Knox,Knox,
,,,,,,,,Eastern,Maroondah,Maroondah,
,,,,,,,,Eastern,Yarra Ranges,Yarra Ranges,
,,,,,,,,Eastern,Benalla,Benalla,
,,,,,,,,Eastern,Benalla,Mansfield,
,,,,,,,,Eastern,Benalla,Murrindindi,
,,,,,,,,Eastern,Mitchell,Mitchell,
,,,,,,,,Eastern,Mitchell,Strathbogie,
,,,,,,,,Eastern,Shepparton,Greater Shepparton,
,,,,,,,,Eastern,Wangaratta,Alpine,
,,,,,,,,Eastern,Wangaratta,Moira,
,,,,,,,,Eastern,Wangaratta,Wangaratta,
,,,,,,,,Eastern,Wodonga,Indigo,
,,,,,,,,Eastern,Wodonga,Towong,
,,,,,,,,Eastern,Wodonga,Wodonga,
,,,,,,,,Eastern,Bass Coast,Bass Coast,
,,,,,,,,Eastern,Bass Coast,South Gippsland,
,,,,,,,,Eastern,Baw Baw,Baw Baw,
,,,,,,,,Eastern,Latrobe,Latrobe,
,,,,,,,,Eastern,East Gippsland,East Gippsland,
,,,,,,,,Eastern,Wellington,Wellington,
,,,,,,,,Southern Metro,Port Phillip,Port Phillip,
,,,,,,,,Southern Metro,Stonnington,Stonnington,
,,,,,,,,Southern Metro,Glen Eira,Bayside,
,,,,,,,,Southern Metro,Glen Eira,Glen Eira,
,,,,,,,,Southern Metro,Kingston,Kingston,
,,,,,,,,Southern Metro,Cardinia,Cardinia,
,,,,,,,,Southern Metro,Casey,Casey,
,,,,,,,,Southern Metro,Greater Dandenong,Greater Dandenong,
,,,,,,,,Southern Metro,Frankston,Frankston,
,,,,,,,,Southern Metro,Mornington Peninsula,Mornington Peninsula,
,,,,,,,,Western,Geelong,Greater Geelong,
,,,,,,,,Western,Geelong,Queenscliffe,
,,,,,,,,Western,Surf Coast,Surf Coast,
,,,,,,,,Western,Surf Coast,Colac-Otway,
,,,,,,,,Western,Southern Grampians,Glenelg,
,,,,,,,,Western,Southern Grampians,Southern Grampians,
,,,,,,,,Western,Warrnambool,Corangamite,
,,,,,,,,Western,Warrnambool,Moyne,
,,,,,,,,Western,Warrnambool,Warrnambool,
,,,,,,,,Western,Ballarat,Ballarat,
,,,,,,,,Western,Ballarat,Pyrenees,
,,,,,,,,Western,Moorabool,Golden Plains,
,,,,,,,,Western,Moorabool,Hepburn,
,,,,,,,,Western,Moorabool,Moorabool,
,,,,,,,,Western,Horsham,Hindmarsh,
,,,,,,,,Western,Horsham,Horsham,
,,,,,,,,Western,Horsham,West Wimmera,
,,,,,,,,Western,Northern Grampians,Ararat,
,,,,,,,,Western,Northern Grampians,Northern Grampians,
,,,,,,,,Western,Northern Grampians,Yarriambiack,
,,,,,,,,Western,Bendigo,Greater Bendigo,
,,,,,,,,Western,Campaspe,Campaspe,
,,,,,,,,Western,Central Goldfields,Central Goldfields,
,,,,,,,,Western,Central Goldfields,Loddon,
,,,,,,,,Western,Macedon Ranges,Macedon Ranges,
,,,,,,,,Western,Macedon Ranges,Mount Alexander,
,,,,,,,,Western,Mildura,Mildura,
,,,,,,,,Western,Swan Hill,Buloke,
,,,,,,,,Western,Swan Hill,Gannawarra,
,,,,,,,,Western,Swan Hill,Swan Hill,
